total_bill,tip,sex,smoker,time,size,day_Sat,day_Sun,day_Thur
16.99,1.01,0,0,1,2,False,True,False
10.34,1.66,1,0,1,3,False,True,False
21.01,3.5,1,0,1,3,False,True,False
23.68,3.31,1,0,1,2,False,True,False
24.59,3.61,0,0,1,4,False,True,False
25.29,4.71,1,0,1,4,False,True,False
8.77,2.0,1,0,1,2,False,True,False
26.88,3.12,1,0,1,4,False,True,False
15.04,1.96,1,0,1,2,False,True,False
14.78,3.23,1,0,1,2,False,True,False
10.27,1.71,1,0,1,2,False,True,False
35.26,5.0,0,0,1,4,False,True,False
15.42,1.57,1,0,1,2,False,True,False
18.43,3.0,1,0,1,4,False,True,False
14.83,3.02,0,0,1,2,False,True,False
21.58,3.92,1,0,1,2,False,True,False
10.33,1.67,0,0,1,3,False,True,False
16.29,3.71,1,0,1,3,False,True,False
16.97,3.5,0,0,1,3,False,True,False
20.65,3.35,1,0,1,3,True,False,False
17.92,4.08,1,0,1,2,True,False,False
20.29,2.75,0,0,1,2,True,False,False
15.77,2.23,0,0,1,2,True,False,False
39.42,7.58,1,0,1,4,True,False,False
19.82,3.18,1,0,1,2,True,False,False
17.81,2.34,1,0,1,4,True,False,False
13.37,2.0,1,0,1,2,True,False,False
12.69,2.0,1,0,1,2,True,False,False
21.7,4.3,1,0,1,2,True,False,False
19.65,3.0,0,0,1,2,True,False,False
9.55,1.45,1,0,1,2,True,False,False
18.35,2.5,1,0,1,4,True,False,False
15.06,3.0,0,0,1,2,True,False,False
20.69,2.45,0,0,1,4,True,False,False
17.78,3.27,1,0,1,2,True,False,False
24.06,3.6,1,0,1,3,True,False,False
16.31,2.0,1,0,1,3,True,False,False
16.93,3.07,0,0,1,3,True,False,False
18.69,2.31,1,0,1,3,True,False,False
31.27,5.0,1,0,1,3,True,False,False
16.04,2.24,1,0,1,3,True,False,False
17.46,2.54,1,0,1,2,False,True,False
13.94,3.06,1,0,1,2,False,True,False
9.68,1.32,1,0,1,2,False,True,False
30.4,5.6,1,0,1,4,False,True,False
18.29,3.0,1,0,1,2,False,True,False
22.23,5.0,1,0,1,2,False,True,False
32.4,6.0,1,0,1,4,False,True,False
28.55,2.05,1,0,1,3,False,True,False
18.04,3.0,1,0,1,2,False,True,False
12.54,2.5,1,0,1,2,False,True,False
10.29,2.6,0,0,1,2,False,True,False
34.81,5.2,0,0,1,4,False,True,False
9.94,1.56,1,0,1,2,False,True,False
25.56,4.34,1,0,1,4,False,True,False
19.49,3.51,1,0,1,2,False,True,False
38.01,3.0,1,1,1,4,True,False,False
26.41,1.5,0,0,1,2,True,False,False
11.24,1.76,1,1,1,2,True,False,False
48.27,6.73,1,0,1,4,True,False,False
20.29,3.21,1,1,1,2,True,False,False
13.81,2.0,1,1,1,2,True,False,False
11.02,1.98,1,1,1,2,True,False,False
18.29,3.76,1,1,1,4,True,False,False
17.59,2.64,1,0,1,3,True,False,False
20.08,3.15,1,0,1,3,True,False,False
16.45,2.47,0,0,1,2,True,False,False
3.07,1.0,0,1,1,1,True,False,False
20.23,2.01,1,0,1,2,True,False,False
15.01,2.09,1,1,1,2,True,False,False
12.02,1.97,1,0,1,2,True,False,False
17.07,3.0,0,0,1,3,True,False,False
26.86,3.14,0,1,1,2,True,False,False
25.28,5.0,0,1,1,2,True,False,False
14.73,2.2,0,0,1,2,True,False,False
10.51,1.25,1,0,1,2,True,False,False
17.92,3.08,1,1,1,2,True,False,False
27.2,4.0,1,0,0,4,False,False,True
